survey,siteID,phase,area,sub_phase,palatial,siteUID,surUID,cat_area,centroid_x,centroid_y,rarea,radius,density,catch_area,catch_radius,,,
GOU,1,EMIII-MMIA,0,EMIII-MMIA,prepal,1,G1,100,662203,3886800,100,5.642,0.5,0.3,30.90193616,,,
GOU,1,MMIB-II,0,MMIB-II,proto,1,G1,30000,662259,3886710,30000,97.721,450,270,927.0580849,,,
GOU,2,HEL-RMN,0,CLASSICAL,greco-rmn,138,G2,1000,661794,3887440,1000,17.841,5,3,97.72050238,,,
GOU,2,HEL-RMN,0,CLASSICAL,greco-rmn,139,G2,700,662082,3887170,700,14.927,3.5,2.1,81.75883811,,,
GOU,2,ORIENT-ARCH,0,ORIENT-ARCH,greek,1,G2,100,662102,3887220,100,5.642,0.5,0.3,30.90193616,,,
GOU,2,MMIB-II,0,MMIB-II,proto,2,G2,1200,662102,3887220,1200,19.544,6,3.6,107.047447,,,
GOU,3,FN,0,FN,prepal,1,G3,100,662249,3886210,100,5.642,0.5,0.3,30.90193616,,,
GOU,3,EMI-II,0,EMI-II,prepal,1,G3,8400,662202,3886260,8400,51.709,84,50.4,400.5348707,,,
GOU,4,EMI-II,0,EMI-II,prepal,2,G4,100,661848,3887430,100,5.642,0.5,0.3,30.90193616,,,
GOU,4,MMIII-LMI,0,MMIII-LMI,neo,1,G4,1600,661868,3887390,1600,22.568,8,4.8,123.6077446,,,
GOU,4,MMIB-II,0,MMIB-II,proto,3,G4,1600,661875,3887390,1600,22.568,8,4.8,123.6077446,,,
GOU,5,HEL-RMN,0,HELLENISTIC,greco-rmn,1,G5,700,661785,3887450,700,14.927,3.5,2.1,81.75883811,,,
GOU,5,MMIB-II,0,MMIB-II,proto,4,G5,700,661815,3887450,700,14.927,3.5,2.1,81.75883811,,,
GOU,5,MMIII-LMI,0,MMIII-LMI,neo,2,G5,700,661825,3887460,700,14.927,3.5,2.1,81.75883811,,,
GOU,6,MMIII-LMI,0,MMIII-LMI,neo,3,G6,3400,662475,3886350,3400,32.898,34,20.4,254.8238937,,,
GOU,6,MMIB-II,0,MMIB-II,proto,5,G6,3400,662479,3886360,3400,32.898,34,20.4,254.8238937,,,
GOU,6,EMI-II,0,EMI-II,prepal,3,G6,40000,662603,3886120,40000,112.838,800,480,1236.077446,,,
GOU,7,EMI-II,0,EMI-II,prepal,4,G7,2400,662637,3887000,2400,27.64,12,7.2,151.3879513,,,
GOU,7,MMIB-II,0,MMIB-II,proto,6,G7,3000,662615,3886960,3000,30.902,30,18,239.3653682,,,
GOU,8,EMIII-MMIA,0,EMIII-MMIA,prepal,2,G8,15000,663144,3886470,15000,69.099,150,90,535.2372348,,,
GOU,8,EMI-II,0,EMI-II,prepal,5,G8,15000,663147,3886490,15000,69.099,150,90,535.2372348,,,
GOU,8,LMIIIA-IIIB,0,LMIIIA-IIIB,postpal,1,G8,15000,663170,3886590,15000,69.099,150,90,535.2372348,,,
GOU,8,MMIII-LMI,0,MMIII-LMI,neo,4,G8,33750,663309,3886640,33750,103.648,506.25,303.75,983.2935875,,,
GOU,8,MMIB-II,0,MMIB-II,proto,7,G8,62500,663172,3886590,62500,141.047,1250,750,1545.096808,,,
GOU,9,HEL-RMN,0,ROMAN,greco-rmn,14,G9,10000,663174,3886320,10000,56.419,100,60,437.0193722,,,
GOU,10,MMIII-LMI,0,MMIII-LMI,neo,4,G10,1250,663309,3886640,1250,19.947,6.25,3.75,109.2548431,,,
GOU,10,FN,0,FN,prepal,2,G10,100,663367,3886760,100,5.642,0.5,0.3,30.90193616,,,
GOU,10,EMIII-MMIA,0,EMIII-MMIA,prepal,3,G10,9000,663432,3886710,9000,53.524,90,54,414.5929794,,,
GOU,10,EMI-II,0,EMI-II,prepal,6,G10,9000,663433,3886770,9000,53.524,90,54,414.5929794,,,
GOU,10,MMIB-II,0,MMIB-II,proto,8,G10,41250,663431,3886690,41250,114.587,825,495,1255.242581,,,
GOU,11,EMIII-MMIA,0,EMIII-MMIA,prepal,4,G11,2000,663315,3886020,2000,25.231,10,6,138.1976598,,,
GOU,11,MMIII-LMI,0,MMIII-LMI,neo,5,G11,15000,663333,3885980,15000,69.099,150,90,535.2372348,,,
GOU,11,MMIB-II,0,MMIB-II,proto,9,G11,15000,663334,3885960,15000,69.099,150,90,535.2372348,,,
GOU,12,MMIB-II,0,MMIB-II,proto,10,G12,1200,663160,3885600,1200,19.544,6,3.6,107.047447,,,
GOU,12,MMIII-LMI,0,MMIII-LMI,neo,6,G12,1200,663176,3885660,1200,19.544,6,3.6,107.047447,,,
GOU,13,MMIB-II,0,MMIB-II,proto,11,G13,400,663323,3885400,400,11.284,2,1.2,61.80387232,,,
GOU,13,MMIII-LMI,0,MMIII-LMI,neo,7,G13,400,663330,3885390,400,11.284,2,1.2,61.80387232,,,
GOU,14,EMI-II,0,EMI-II,prepal,7,G14,2000,663634,3886120,2000,25.231,10,6,138.1976598,,,
GOU,14,MMIII-LMI,0,MMIII-LMI,neo,8,G14,100,663668,3886090,100,5.642,0.5,0.3,30.90193616,,,
GOU,14,EMIII-MMIA,0,EMIII-MMIA,prepal,5,G14,2600,663636,3886110,2600,28.768,26,15.6,222.8370307,,,
GOU,14,MMIB-II,0,MMIB-II,proto,12,G14,17000,663660,3886120,17000,73.561,170,102,569.8035485,,,
GOU,15,MMIII-LMI,0,MMIII-LMI,neo,9,G15,6000,664018,3886000,6000,43.702,60,36,338.5137501,,,
GOU,16,MMIB-II,0,MMIB-II,proto,13,G16,6000,664101,3886150,6000,43.702,60,36,338.5137501,,,
GOU,16,MMIII-LMI,0,MMIII-LMI,neo,10,G16,6000,664185,3886160,6000,43.702,60,36,338.5137501,,,
GOU,17,HEL-RMN,0,ROMAN,greco-rmn,15,G17,5000,664090,3886520,5000,39.894,50,30,309.0193616,,,
GOU,17,EMIII-MMIA,0,EMIII-MMIA,prepal,6,G17,18800,664093,3886540,18800,77.358,188,112.8,599.2107739,,,
GOU,17,MMIB-II,0,MMIB-II,proto,14,G17,22500,664074,3886520,22500,84.628,337.5,202.5,802.8558523,,,
GOU,20,MMIII-LMI,0,MMIII-LMI,neo,13,G20,5000,664437,3886240,5000,39.894,50,30,309.0193616,,,
GOU,20,MMIB-II,0,MMIB-II,proto,16,G20,5000,664470,3886260,5000,39.894,50,30,309.0193616,,,
GOU,21,HEL-RMN,0,ROMAN,greco-rmn,16,G21,8400,664762,3886300,8400,51.709,84,50.4,400.5348707,,,
GOU,22,EMI-II,0,EMI-II,prepal,8,G22,2000,665109,3886300,2000,25.231,10,6,138.1976598,,,
GOU,22,MMIB-II,0,MMIB-II,proto,17,G22,4900,665105,3886310,4900,39.493,49,29.4,305.9135606,,,
GOU,23,HEL-RMN,0,CLASSICAL,greco-rmn,140,G23,2000,665193,3886520,2000,25.231,10,6,138.1976598,,,
GOU,23,HEL-RMN,0,HELLENISTIC,greco-rmn,2,G23,2000,665197,3886530,2000,25.231,10,6,138.1976598,,,
GOU,23,EMI-II,0,EMI-II,prepal,9,G23,30000,665195,3886520,30000,97.721,450,270,927.0580849,,,
GOU,24,MMIB-II,0,MMIB-II,proto,18,G24,4500,665276,3886180,4500,37.847,45,27,293.1615071,,,
GOU,24,MMIII-LMI,0,MMIII-LMI,neo,14,G24,4500,665319,3886190,4500,37.847,45,27,293.1615071,,,
GOU,25,MMIII-LMI,0,MMIII-LMI,neo,15,G25,3600,664707,3886020,3600,33.851,36,21.6,262.2116233,,,
GOU,25,MMIB-II,0,MMIB-II,proto,19,G25,3600,664764,3885950,3600,33.851,36,21.6,262.2116233,,,
GOU,26,MMIB-II,0,MMIB-II,proto,20,G26,900,664844,3885570,900,16.926,4.5,2.7,92.70580849,,,
GOU,26,EMI-II,0,EMI-II,prepal,11,G26,2100,664879,3885660,2100,25.854,10.5,6.3,141.6104616,,,
GOU,26,EMIII-MMIA,0,EMIII-MMIA,prepal,7,G26,3700,664833,3885690,3700,34.318,37,22.2,265.8285062,,,
GOU,27,MMIII-LMI,0,MMIII-LMI,neo,16,G27,400,664399,3885450,400,11.284,2,1.2,61.80387232,,,
GOU,27,MMIB-II,0,MMIB-II,proto,21,G27,400,664409,3885400,400,11.284,2,1.2,61.80387232,,,
GOU,28,EMI-II,0,EMI-II,prepal,12,G28,4900,664915,3885370,4900,39.493,49,29.4,305.9135606,,,
GOU,28,EMIII-MMIA,0,EMIII-MMIA,prepal,8,G28,4900,664930,3885320,4900,39.493,49,29.4,305.9135606,,,
GOU,28,MMIB-II,0,MMIB-II,proto,22,G28,4900,664955,3885310,4900,39.493,49,29.4,305.9135606,,,
GOU,28,HEL-RMN,0,ROMAN,greco-rmn,17,G28,7000,664970,3885300,7000,47.203,70,42,365.6366396,,,
GOU,29,EMI-II,0,EMI-II,prepal,13,G29,200,664935,3885230,200,7.979,1,0.6,43.70193722,,,
GOU,30,EMIII-MMIA,0,EMIII-MMIA,prepal,9,G30,1700,665001,3884960,1700,23.262,8.5,5.1,127.4119468,,,
GOU,31,MMIB-II,0,MMIB-II,proto,23,G31,400,664665,3884560,400,11.284,2,1.2,61.80387232,,,
GOU,31,MMIII-LMI,0,MMIII-LMI,neo,17,G31,400,664665,3884560,400,11.284,2,1.2,61.80387232,,,
GOU,31,EMIII-MMIA,0,EMIII-MMIA,prepal,10,G31,400,664681,3884600,400,11.284,2,1.2,61.80387232,,,
GOU,31,EMI-II,0,EMI-II,prepal,16,G31,400,664687,3884560,400,11.284,2,1.2,61.80387232,,,
GOU,32,MMIII-LMI,0,MMIII-LMI,neo,18,G32,1400,664898,3884400,1400,21.11,7,4.2,115.6244577,,,
GOU,32,MMIB-II,0,MMIB-II,proto,24,G32,1400,664914,3884440,1400,21.11,7,4.2,115.6244577,,,
GOU,32,HEL-RMN,0,HELLENISTIC,greco-rmn,3,G32,100,664955,3884440,100,5.642,0.5,0.3,30.90193616,,,
GOU,32,HEL-RMN,0,ROMAN,greco-rmn,18,G32,400,664955,3884440,400,11.284,2,1.2,61.80387232,,,
GOU,33,HEL-RMN,0,HELLENISTIC,greco-rmn,4,G33,100,664622,3884090,100,5.642,0.5,0.3,30.90193616,,,
GOU,33,EMIII-MMIA,0,EMIII-MMIA,prepal,11,G33,8100,664588,3884090,8100,50.777,81,48.6,393.317435,,,
GOU,33,MMIB-II,0,MMIB-II,proto,25,G33,8100,664607,3884090,8100,50.777,81,48.6,393.317435,,,
GOU,33,EMI-II,0,EMI-II,prepal,17,G33,3600,664635,3884090,3600,33.851,36,21.6,262.2116233,,,
GOU,33,HEL-RMN,0,ROMAN,greco-rmn,19,G33,62500,664622,3884090,62500,141.047,1250,750,1545.096808,,,
GOU,34,MMIII-LMI,0,MMIII-LMI,neo,19,G34,100,667795,3886830,100,5.642,0.5,0.3,30.90193616,,,
GOU,34,MMIB-II,0,MMIB-II,proto,26,G34,100,667802,3886800,100,5.642,0.5,0.3,30.90193616,,,
GOU,35,MMIII-LMI,0,MMIII-LMI,neo,20,G35,900,667674,3886680,900,16.926,4.5,2.7,92.70580849,,,
GOU,39,MMIII-LMI,0,MMIII-LMI,neo,21,G39,1200,665026,3884080,1200,19.544,6,3.6,107.047447,,,
GOU,39,MMIB-II,0,MMIB-II,proto,27,G39,1200,665028,3884070,1200,19.544,6,3.6,107.047447,,,
GOU,40,HEL-RMN,0,ROMAN,greco-rmn,20,G40,4000,665025,3883870,4000,35.682,40,24,276.3953196,,,
GOU,41,HEL-RMN,0,ROMAN,greco-rmn,21,G41,13500,664874,3883630,13500,65.553,135,81,507.7706252,,,
GOU,42,HEL-RMN,0,ROMAN,greco-rmn,22,G42,4000,665052,3883580,4000,35.682,40,24,276.3953196,,,
GOU,43,MMIB-II,0,MMIB-II,proto,28,G43,300,665525,3885850,300,9.772,1.5,0.9,53.52372348,,,
GOU,43,MMIII-LMI,0,MMIII-LMI,neo,22,G43,300,665527,3885820,300,9.772,1.5,0.9,53.52372348,,,
GOU,44,EMIII-MMIA,0,EMIII-MMIA,prepal,12,G44,1100,666255,3886060,1100,18.712,5.5,3.3,102.4901275,,,
GOU,44,MMIB-II,0,MMIB-II,proto,29,G44,1100,666293,3886070,1100,18.712,5.5,3.3,102.4901275,,,
GOU,45,EMIII-MMIA,0,EMIII-MMIA,prepal,13,G45,100,666261,3886100,100,5.642,0.5,0.3,30.90193616,,,
GOU,45,MMIB-II,0,MMIB-II,proto,30,G45,100,666261,3886100,100,5.642,0.5,0.3,30.90193616,,,
GOU,45,MMIII-LMI,0,MMIII-LMI,neo,23,G45,100,666261,3886100,100,5.642,0.5,0.3,30.90193616,,,
GOU,46,HEL-RMN,0,ROMAN,greco-rmn,23,G46,6000,666475,3886150,6000,43.702,60,36,338.5137501,,,
GOU,46,MMIII-LMI,0,MMIII-LMI,neo,24,G46,4500,666560,3886110,4500,37.847,45,27,293.1615071,,,
GOU,46,MMIB-II,0,MMIB-II,proto,31,G46,4500,666653,3886180,4500,37.847,45,27,293.1615071,,,
GOU,47,MMIII-LMI,0,MMIII-LMI,neo,25,G47,4800,667944,3887220,4800,39.088,48,28.8,302.7759026,,,
GOU,48,MMIII-LMI,0,MMIII-LMI,neo,26,G48,1200,667851,3887190,1200,19.544,6,3.6,107.047447,,,
GOU,49,MMIB-II,0,MMIB-II,proto,32,G49,100,668050,3887070,100,5.642,0.5,0.3,30.90193616,,,
GOU,49,MMIII-LMI,0,MMIII-LMI,neo,27,G49,100,668063,3887120,100,5.642,0.5,0.3,30.90193616,,,
GOU,50,MMIII-LMI,0,MMIII-LMI,neo,28,G50,1000,668133,3886910,1000,17.841,5,3,97.72050238,,,
GOU,51,MMIB-II,0,MMIB-II,proto,33,G51,3900,668248,3886730,3900,35.234,39,23.4,272.9185105,,,
GOU,51,MMIII-LMI,0,MMIII-LMI,neo,29,G51,3900,668319,3886800,3900,35.234,39,23.4,272.9185105,,,
GOU,52,MMIB-II,0,MMIB-II,proto,34,G52,1200,668471,3886840,1200,19.544,6,3.6,107.047447,,,
GOU,52,MMIII-LMI,0,MMIII-LMI,neo,30,G52,100,668549,3886890,100,5.642,0.5,0.3,30.90193616,,,
GOU,53,MMIII-LMI,0,MMIII-LMI,neo,31,G53,400,668062,3886840,400,11.284,2,1.2,61.80387232,,,
GOU,54,EMIII-MMIA,0,EMIII-MMIA,prepal,14,G54,100,667595,3886630,100,5.642,0.5,0.3,30.90193616,,,
GOU,54,MMIII-LMI,0,MMIII-LMI,neo,32,G54,3600,667504,3886690,3600,33.851,36,21.6,262.2116233,,,
GOU,54,MMIB-II,0,MMIB-II,proto,35,G54,3600,667615,3886700,3600,33.851,36,21.6,262.2116233,,,
GOU,55,MMIII-LMI,0,MMIII-LMI,neo,33,G55,300,667433,3886560,300,9.772,1.5,0.9,53.52372348,,,
GOU,55,MMIB-II,0,MMIB-II,proto,36,G55,300,667453,3886580,300,9.772,1.5,0.9,53.52372348,,,
GOU,56,MMIII-LMI,0,MMIII-LMI,neo,34,G56,100,667354,3886430,100,5.642,0.5,0.3,30.90193616,,,
GOU,56,HEL-RMN,0,ROMAN,greco-rmn,24,G56,2000,667413,3886320,2000,25.231,10,6,138.1976598,,,
GOU,57,MMIB-II,0,MMIB-II,proto,37,G57,1000,667401,3886420,1000,17.841,5,3,97.72050238,,,
GOU,58,MMIII-LMI,0,MMIII-LMI,neo,35,G58,2500,667401,3886350,2500,28.209,25,15,218.5096861,,,
GOU,59,MMIII-LMI,0,MMIII-LMI,neo,36,G59,1400,667295,3886230,1400,21.11,7,4.2,115.6244577,,,
GOU,60,EMIII-MMIA,0,EMIII-MMIA,prepal,15,G60,100,667051,3886360,100,5.642,0.5,0.3,30.90193616,,,
GOU,60,MMIB-II,0,MMIB-II,proto,38,G60,34000,666986,3886410,34000,104.031,510,306,986.9286964,,,
GOU,60,MMIII-LMI,0,MMIII-LMI,neo,37,G60,34000,667006,3886290,34000,104.031,510,306,986.9286964,,,
GOU,61,MMIII-LMI,0,MMIII-LMI,neo,38,G61,3600,666946,3885750,3600,33.851,36,21.6,262.2116233,,,
GOU,61,MMIB-II,0,MMIB-II,proto,39,G61,4500,666997,3885710,4500,37.847,45,27,293.1615071,,,
GOU,61,HEL-RMN,0,ROMAN,greco-rmn,25,G61,52800,667015,3885670,52800,129.641,1056,633.6,1420.144865,,,
GOU,62,MMIII-LMI,0,MMIII-LMI,neo,39,G62,200,667350,3885760,200,7.979,1,0.6,43.70193722,,,
GOU,62,MMIB-II,0,MMIB-II,proto,40,G62,200,667352,3885780,200,7.979,1,0.6,43.70193722,,,
GOU,63,MMIB-II,0,MMIB-II,proto,41,G63,300,666876,3885650,300,9.772,1.5,0.9,53.52372348,,,
GOU,63,EMIII-MMIA,0,EMIII-MMIA,prepal,16,G63,300,666970,3885620,300,9.772,1.5,0.9,53.52372348,,,
GOU,64,MMIB-II,0,MMIB-II,proto,42,G64,3300,667103,3885310,3300,32.41,33,19.8,251.0485162,,,
GOU,64,MMIII-LMI,0,MMIII-LMI,neo,40,G64,3300,667103,3885290,3300,32.41,33,19.8,251.0485162,,,
GOU,65,EMI-II,0,EMI-II,prepal,18,G65,100,666811,3884690,100,5.642,0.5,0.3,30.90193616,,,
GOU,65,EMIII-MMIA,0,EMIII-MMIA,prepal,17,G65,3200,666842,3884710,3200,31.915,32,19.2,247.2154893,,,
GOU,65,MMIB-II,0,MMIB-II,proto,43,G65,7200,666873,3884670,7200,47.873,72,43.2,370.8232339,,,
GOU,65,MMIII-LMI,0,MMIII-LMI,neo,41,G65,9900,666877,3884700,9900,56.136,99,59.4,434.8287851,,,
GOU,66,HEL-RMN,0,HELLENISTIC,greco-rmn,5,G66,2000,666848,3884140,2000,25.231,10,6,138.1976598,,,
GOU,66,MMIB-II,0,MMIB-II,proto,44,G66,4400,666848,3884100,4400,37.424,44,26.4,289.8858568,,,
GOU,66,MMIII-LMI,0,MMIII-LMI,neo,42,G66,4400,666849,3884150,4400,37.424,44,26.4,289.8858568,,,
GOU,66,HEL-RMN,0,ROMAN,greco-rmn,26,G66,2800,666855,3884150,2800,29.854,28,16.8,231.2489154,,,
GOU,67,LMIIIC-GEO,0,LMIIIC,sub-min,1,G67,100,666876,3883860,100,5.642,0.5,0.3,30.90193616,,,
GOU,67,HEL-RMN,0,ROMAN,greco-rmn,27,G67,100,666880,3883840,100,5.642,0.5,0.3,30.90193616,,,
GOU,67,EMI-II,0,EMI-II,prepal,19,G67,900,666911,3883800,900,16.926,4.5,2.7,92.70580849,,,
GOU,67,MMIII-LMI,0,MMIII-LMI,neo,43,G67,4500,666888,3883860,4500,37.847,45,27,293.1615071,,,
GOU,67,MMIB-II,0,MMIB-II,proto,45,G67,4500,666899,3883830,4500,37.847,45,27,293.1615071,,,
GOU,68,LMIIIC-GEO,0,LMIIIC,sub-min,2,G68,2000,666605,3883760,2000,25.231,10,6,138.1976598,,,
GOU,68,MMIB-II,0,MMIB-II,proto,46,G68,1600,666695,3883750,1600,22.568,8,4.8,123.6077446,,,
GOU,68,MMIII-LMI,0,MMIII-LMI,neo,44,G68,3000,666640,3883780,3000,30.902,30,18,239.3653682,,,
GOU,69,MMIII-LMI,0,MMIII-LMI,neo,45,G69,800,666407,3883330,800,15.958,4,2.4,87.40387445,,,
GOU,69,MMIB-II,0,MMIB-II,proto,47,G69,800,666414,3883410,800,15.958,4,2.4,87.40387445,,,
GOU,70,MMIII-LMI,0,MMIII-LMI,neo,46,G70,100,666555,3883270,100,5.642,0.5,0.3,30.90193616,,,
GOU,70,HEL-RMN,0,ROMAN,greco-rmn,28,G70,400,666592,3883230,400,11.284,2,1.2,61.80387232,,,
GOU,70,EMI-II,0,EMI-II,prepal,20,G70,200,666621,3883260,200,7.979,1,0.6,43.70193722,,,
GOU,70,MMIB-II,0,MMIB-II,proto,48,G70,2800,666556,3883250,2800,29.854,28,16.8,231.2489154,,,
GOU,70,LMIIIC-GEO,0,LMIIIC,sub-min,3,G70,49600,666578,3883220,49600,125.651,992,595.2,1376.437591,,,
GOU,71,HEL-RMN,0,ROMAN,greco-rmn,29,G71,35000,665816,3883380,35000,105.55,525,315,1001.337177,,,
GOU,72,HEL-RMN,0,ROMAN,greco-rmn,30,G72,2000,666441,3883140,2000,25.231,10,6,138.1976598,,,
GOU,73,HEL-RMN,0,ROMAN,greco-rmn,31,G73,15000,665957,3883100,15000,69.099,150,90,535.2372348,,,
GOU,74,HEL-RMN,0,ROMAN,greco-rmn,32,G74,2300,665411,3883060,2300,27.058,11.5,6.9,148.2004796,,,
GOU,75,MMIB-II,0,MMIB-II,proto,49,G75,500,665991,3882610,500,12.616,2.5,1.5,69.09882989,,,
GOU,75,MMIII-LMI,0,MMIII-LMI,neo,47,G75,500,665991,3882610,500,12.616,2.5,1.5,69.09882989,,,
GOU,76,MMIB-II,0,MMIB-II,proto,50,G76,2700,665830,3882720,2700,29.316,27,16.2,227.081927,,,
GOU,76,MMIII-LMI,0,MMIII-LMI,neo,48,G76,2700,665865,3882750,2700,29.316,27,16.2,227.081927,,,
GOU,77,HEL-RMN,0,HELLENISTIC,greco-rmn,6,G77,3800,665818,3882800,3800,34.779,38,22.8,269.3968338,,,
GOU,78,MMIB-II,0,MMIB-II,proto,51,G78,8300,665733,3882900,8300,51.4,83,49.8,398.1435964,,,
GOU,78,MMIII-LMI,0,MMIII-LMI,neo,49,G78,8300,665761,3882900,8300,51.4,83,49.8,398.1435964,,,
GOU,80,HEL-RMN,0,ROMAN,greco-rmn,33,G80,16800,665544,3882820,16800,73.127,168,100.8,566.4418463,,,
GOU,81,LMIIIC-GEO,0,LMIIIC,sub-min,5,G81,100,665279,3882920,100,5.642,0.5,0.3,30.90193616,,,
GOU,81,HEL-RMN,0,HELLENISTIC,greco-rmn,7,G81,100,665334,3882880,100,5.642,0.5,0.3,30.90193616,,,
GOU,81,LMIIIA-IIIB,0,LMIIIA-IIIB,postpal,4,G81,1800,665336,3882890,1800,23.937,9,5.4,131.1058117,,,
GOU,81,MMIII-LMI,0,MMIII-LMI,neo,50,G81,2900,665328,3882910,2900,30.383,29,17.4,235.3421343,,,
GOU,82,MMIII-LMI,0,MMIII-LMI,neo,51,G82,2800,665065,3882440,2800,29.854,28,16.8,231.2489154,,,
GOU,82,MMIB-II,0,MMIB-II,proto,52,G82,2800,665067,3882430,2800,29.854,28,16.8,231.2489154,,,
GOU,83,MMIB-II,0,MMIB-II,proto,53,G83,10500,665716,3882360,10500,57.812,105,63,447.8115991,,,
GOU,83,LMIIIC-GEO,0,LMIIIC,sub-min,6,G83,4600,665720,3882370,4600,38.265,46,27.6,296.4009592,,,
GOU,83,MMIII-LMI,0,MMIII-LMI,neo,52,G83,4800,665789,3882390,4800,39.088,48,28.8,302.7759026,,,
GOU,84,LMIIIC-GEO,0,LMIIIC,sub-min,7,G84,1400,665883,3882250,1400,21.11,7,4.2,115.6244577,,,
GOU,84,LMIIIA-IIIB,0,LMIIIA-IIIB,postpal,5,G84,600,665897,3882260,600,13.82,3,1.8,75.69397566,,,
GOU,84,EMI-II,0,EMI-II,prepal,21,G84,400,665940,3882240,400,11.284,2,1.2,61.80387232,,,
GOU,84,MMIB-II,0,MMIB-II,proto,54,G84,19100,665865,3882240,19100,77.973,191,114.6,603.9727888,,,
GOU,84,EMIII-MMIA,0,EMIII-MMIA,prepal,18,G84,4600,665900,3882250,4600,38.265,46,27.6,296.4009592,,,
GOU,84,MMIII-LMI,0,MMIII-LMI,neo,53,G84,12000,665907,3882270,12000,61.804,120,72,478.7307365,,,
GOU,85,MMIII-LMI,0,MMIII-LMI,neo,54,G85,1600,665243,3882280,1600,22.568,8,4.8,123.6077446,,,
GOU,85,HEL-RMN,0,ROMAN,greco-rmn,34,G85,100,665244,3882250,100,5.642,0.5,0.3,30.90193616,,,
GOU,86,HEL-RMN,0,ROMAN,greco-rmn,35,G86,10000,664592,3882260,10000,56.419,100,60,437.0193722,,,
GOU,87,HEL-RMN,0,ROMAN,greco-rmn,36,G87,1100,664755,3882210,1100,18.712,5.5,3.3,102.4901275,,,
GOU,88,HEL-RMN,0,HELLENISTIC,greco-rmn,8,G88,100,665250,3882080,100,5.642,0.5,0.3,30.90193616,,,
GOU,88,HEL-RMN,0,ROMAN,greco-rmn,37,G88,45000,665250,3882080,45000,119.683,900,540,1311.058117,,,
GOU,89,HEL-RMN,0,HELLENISTIC,greco-rmn,9,G89,100,665632,3882090,100,5.642,0.5,0.3,30.90193616,,,
GOU,90,EMI-II,0,EMI-II,prepal,22,G90,1300,665420,3882030,1300,20.342,6.5,3.9,111.4185153,,,
GOU,90,EMIII-MMIA,0,EMIII-MMIA,prepal,19,G90,1300,665465,3881980,1300,20.342,6.5,3.9,111.4185153,,,
GOU,90,LMIIIC-GEO,0,LMIIIC,sub-min,8,G90,100,665513,3881980,100,5.642,0.5,0.3,30.90193616,,,
GOU,90,MMIII-LMI,0,MMIII-LMI,neo,55,G90,16500,665492,3881940,16500,72.471,165,99,561.3615478,,,
GOU,90,MMIB-II,0,MMIB-II,proto,55,G90,16500,665509,3881990,16500,72.471,165,99,561.3615478,,,
GOU,91,HEL-RMN,0,ROMAN,greco-rmn,38,G91,55000,665351,3881910,55000,132.314,1100,660,1449.429284,,,
